#Ensembl.ID	Symbol
ENSGALG00000025224	MIR1683
ENSGALG00000012003	XPNPEP3
ENSGALG00000012007	ST13
ENSGALG00000012013	SLC25A17
ENSGALG00000039210	ENSGALG00000039210
ENSGALG00000012024	MKL1
ENSGALG00000012033	SGSM3
ENSGALG00000012034	ADSL
ENSGALG00000012050	TNRC6B
ENSGALG00000045936	FAM83F
ENSGALG00000012056	GRAP2
ENSGALG00000035051	CACNA1I
ENSGALG00000024676	7SK
ENSGALG00000032429	ENSGALG00000032429
ENSGALG00000029810	RPS19BP1
ENSGALG00000012135	ATF4
ENSGALG00000012144	MIEF1
ENSGALG00000028989	ENSGALG00000028989
ENSGALG00000036743	MGAT3
ENSGALG00000012150	TAB1
ENSGALG00000027665	SYNGR1
ENSGALG00000012172	RPL3
ENSGALG00000036151	SNORD83A
ENSGALG00000017808	snoU83B
ENSGALG00000012178	PDGFB
ENSGALG00000041236	CBX7
ENSGALG00000036867	CBX6
ENSGALG00000033981	ENSGALG00000033981
ENSGALG00000041604	NPTXR
ENSGALG00000043451	DNAL4
ENSGALG00000034504	FAM20CL
ENSGALG00000028230	SUN2
ENSGALG00000030783	GTPBP1
ENSGALG00000041766	JOSD1
ENSGALG00000019316	TOMM22
ENSGALG00000012218	CBY1
ENSGALG00000012236	DMC1
ENSGALG00000037360	DDX17
ENSGALG00000044020	ENSGALG00000044020
ENSGALG00000029806	ENSGALG00000029806
ENSGALG00000032313	KDELR3
ENSGALG00000012254	KCNJ4
ENSGALG00000032257	CSNK1E
ENSGALG00000012272	TMEM184B
ENSGALG00000012277	MAFF
ENSGALG00000012281	PLA2G6
ENSGALG00000012285	BAIAP2L2
ENSGALG00000036041	ENSGALG00000036041
ENSGALG00000036897	SLC16A8
ENSGALG00000041823	PICK1
ENSGALG00000038935	ENSGALG00000038935
ENSGALG00000012290	SOX10
ENSGALG00000012291	POLR2F
ENSGALG00000012293	C1H22orf23
ENSGALG00000012265	MICALL1
ENSGALG00000012296	EIF3L
ENSGALG00000012299	ANKRD54
ENSGALG00000012307	GALR3
ENSGALG00000019312	LOC693258
ENSGALG00000012312	GCAT
ENSGALG00000044240	H1F0
ENSGALG00000045591	ENSGALG00000045591
ENSGALG00000034518	ENSGALG00000034518
ENSGALG00000012410	NOL12
ENSGALG00000012416	LOC100858460
ENSGALG00000012419	UTS2RL
ENSGALG00000012420	LGALS1
ENSGALG00000023131	PDXP
ENSGALG00000012422	SH3BP1
ENSGALG00000039658	GGA1
ENSGALG00000003213	LGALS2
ENSGALG00000038556	CDC42EP1
ENSGALG00000042365	CARD10
ENSGALG00000012442	MFNG
ENSGALG00000038966	ENSGALG00000038966
ENSGALG00000012446	ELFN2
ENSGALG00000012454	CYTH4
ENSGALG00000012456	RAC2
ENSGALG00000012457	SSTR3
ENSGALG00000027067	C1QTNF6
ENSGALG00000012472	IL2RB
ENSGALG00000012483	TMPRSS6
ENSGALG00000042419	KCTD17
ENSGALG00000040840	MPST
ENSGALG00000012488	TST
ENSGALG00000012490	TEX33
ENSGALG00000025881	CSF2RB
ENSGALG00000038141	NCF4
ENSGALG00000012522	PVALB
ENSGALG00000042990	IFT27
ENSGALG00000031977	CACNG2
ENSGALG00000025909	uc_338
ENSGALG00000012529	EIF3D
ENSGALG00000012530	FOXRED2
ENSGALG00000025194	MIR1742
ENSGALG00000012532	TXN2
ENSGALG00000043092	MYH9
ENSGALG00000012540	RBFOX2
ENSGALG00000012541	MB
ENSGALG00000012542	RASD2
ENSGALG00000012546	MCM5
ENSGALG00000012550	HMOX1
ENSGALG00000012552	TOM1
